samples;total_number_of_reads;file_size;GC_content;total_number_of_bases;complete_sequence_size;average_read_size;read_size_mode;read_size_median;lowest_read_size;highest_read_size
SRR446575;8838204574;84001065;0.4396890981374107;6925665810;6925665810;82.44735718529283;85;85;50;85
SRR446576;8043431473;77311269;0.44312107464316897;6283631288;6283631288;81.27704239339288;85;85;50;85
SRR446577;6520949616;63295663;0.4094363167592802;5081603768;5081603768;80.28360123188851;85;85;50;85
SRR5248198;16170198936;102240951;0.46270805763223133;13737587907;13737587907;134.36482908888436;150;144;50;150
SRR5248199;13225088168;78570015;0.5235668101131371;11360978733;11360978733;144.59687621289115;150;150;50;150
SRR5248218;20400260100;125878737;0.4292446938265943;17400612775;17400612775;138.23313761878626;150;147;50;150
SRR5248219;18012106576;107842828;0.5012673509655609;15444753294;15444753294;143.21539577949494;150;150.0;50;150
SRR5435972;24460560444;141419243;0.4360883971482271;21088519046;21088519046;149.12057651164204;151;151;50;151
SRR5435975;23356599069;134879483;0.43971466636739026;20141586491;20141586491;149.3302468471057;151;151;50;151
SRR5468912;17757835572;103897763;0.5940753061400059;15286113163;15286113163;147.126489749351;151;151;50;151
SRR5468955;14309563277;83625461;0.6029112001995732;12324348633;12324348633;147.37555387587042;151;151;50;151
SRR5468956;14748634069;86198236;0.6080988155405705;12701714576;12701714576;147.35469268767866;151;151.0;50;151
SRR5468957;7021893859;41212732;0.6024311070650639;6054613806;6054613806;146.91124592274056;151;151.0;50;151
SRR5487649;14441507543;84033825;0.4238687504275331;12446756704;12446756704;148.1160318954897;150;150;50;150
SRR5487652;13895731766;80609348;0.4458082072082544;11983171031;11983171031;148.65733724828044;150;150.0;50;150
SRR5487656;11657049226;67670974;0.4555239619036199;10054998481;10054998481;148.5865783607607;150;150.0;50;150
SRR5487657;14826037569;86088124;0.4053834690552127;12781950912;12781950912;148.4751940000458;150;150.0;50;150
SRR6050920;13097949739;76132620;0.4798612579647415;11292820356;11292820356;148.3309040986636;151;151.0;50;151
SRR6050958;12539736936;72888903;0.47652889910004576;10812440353;10812440353;148.34137856348312;151;151;50;151
SRR6050961;13398252678;77833754;0.47694720244833616;11552303919;11552303919;148.4228027726891;151;151.0;50;151
SRR6051235;21720751980;126764638;0.4515158604167606;18700475213;18700475213;147.52122916960485;151;151.0;50;151
SRR6051236;20244201514;118073660;0.4396666912320626;17432557073;17432557073;147.64137126773235;151;151.0;50;151
SRR6051345;23104801653;134842727;0.4318056154354473;19890689947;19890689947;147.51029135594388;151;151;50;151
SRR6051694;20236502576;117908656;0.42725579049131934;17428829340;17428829340;147.81636846068366;151;151.0;50;151
SRR6051698;20250677341;118116120;0.4268433805719802;17437962873;17437962873;147.63406445284522;151;151.0;50;151
SRR6240743;13086262523;76177913;0.4063988009316961;11279377460;11279377460;148.06624408311106;151;151;50;151
SRR6240745;12751875531;74258396;0.4235737639296616;10991168749;10991168749;148.01247186917422;151;151.0;50;151
SRR6240752;15415772188;92702432;0.42049025287550795;13212653599;13212653599;142.52758330007998;151;150.0;50;151
SRR6240782;13188380351;76534684;0.38660713281396597;11373215450;11373215450;148.60210894710167;151;151.0;50;151
SRR6240785;15209551527;92101879;0.4200563610609418;13020296065;13020296065;141.36840861846042;151;150;50;151
SRR7193715;11830760572;69023013;0.6076629136120335;10194164329;10194164329;147.69225343727027;151;150;50;151
mgm4440026;682415;6029;0.4134174836894;502434;502434;83.3362083264223;70;82;50;152
mgm4440036;12943841;93530;0.3828880007669716;10149007;10149007;108.51071314016893;106;109.0;50;296
mgm4440037;25050521;184554;0.4831636822825267;19439019;19439019;105.32970837803569;110;107.0;50;283
mgm4440038;39834224;281947;0.3389614701290311;31204880;31204880;110.67640372126677;109;111;50;290
mgm4440039;46853171;343295;0.4595637666212876;36320742;36320742;105.80038159600343;105;106;50;251
mgm4440040;48203631;356703;0.36968280786846147;37256788;37256788;104.44764411849634;106;106;50;224
mgm4440041;30057660;222180;0.4681020145151068;23279746;23279746;104.77876496534341;102;103.0;50;361
mgm4440051;8411660;62969;0.41921749890903787;6471352;6471352;102.77044259873907;105;104;50;242
mgm4440055;6366571;49562;0.5714496329367635;4890438;4890438;98.67313667729309;98;99.0;50;183
mgm4440056;7495590;58229;0.559915103240474;5759466;5759466;98.9106115509454;99;99;50;179
mgm4440059;8365171;64667;0.5383838752655927;6436075;6436075;99.52641996690738;100;100;50;203
mgm4440064;7460466;58095;0.5299857133580103;5728428;5728428;98.60449264136328;99;99;50;197
mgm4440065;7676708;59611;0.4847148632895501;5899293;5899293;98.96316116153059;100;100;50;161
mgm4440066;10511828;80892;0.5252060800866798;8096003;8096003;100.08409978737082;101;101.0;50;199
mgm4440090;14330024;109908;0.4339432093515531;11033718;11033718;100.39049022819086;105;103.0;50;227
mgm4440212;53564294;208066;0.3990362546478757;47225338;47225338;226.97287399190643;249;247.0;50;446
mgm4440213;34988459;134198;0.40239665912094874;30939402;30939402;230.55039568398934;255;250.0;50;370
mgm4440275;69656874;341622;0.3797496745648351;59177686;59177686;173.22562949692934;253;172.0;50;367
mgm4440276;77331596;302264;0.4130676340900392;68072506;68072506;225.2087777571924;253;246.0;50;408
mgm4440370;4646393;35184;0.4290874624471428;3601923;3601923;102.37389154160982;101;103.0;50;211
mgm4440371;6252091;46108;0.43590391556591523;4879167;4879167;105.82039993059773;105;106.0;50;339
mgm4440374;5124999;38375;0.4696425183428816;3984652;3984652;103.83457980456026;104;105;50;199
mgm4440375;5382755;37492;0.4897652684662415;4268749;4268749;113.85759628720794;104;112.0;50;202
mgm4440376;4882535;37075;0.4283773311433612;3780870;3780870;101.9789615643965;103;103;50;206
mgm4440377;4612902;33636;0.4566125802229686;3614769;3614769;107.46726721369961;104;107.0;50;217
mgm4440380;7517765;51584;0.48061738788046493;5981005;5981005;115.94690214019852;105;115.0;50;223
mgm4440419;4755720;35358;0.6133466987400451;3706085;3706085;104.8160246620284;108;106.0;50;193
mgm4440420;8363493;62504;0.4318248117232835;6499476;6499476;103.9849609624984;105;105.0;50;188
mgm4440421;19947913;153095;0.5303393072404522;15312759;15312759;100.0212874359058;102;102;50;160
mgm4440425;15466332;120480;0.613655489610585;11842534;11842534;98.29460491367863;100;100.0;50;187
mgm4440426;4365586;33234;0.42562634101796487;3379429;3379429;101.68589396401276;102;102.0;50;248
mgm4440428;7429022;57870;0.46461612256139656;5703982;5703982;98.56543977881458;104;101.0;50;222
mgm4440429;5149242;39074;0.6329696285848613;3988125;3988125;102.06595178379484;107;104.0;50;188
mgm4440430;10264865;77949;0.6359525039370079;7937500;7937500;101.82940127519275;104;103;50;210
mgm4440432;14786067;109958;0.4104461768672263;11488471;11488471;104.48053802360901;104;105.0;50;239
mgm4440433;16171987;122247;0.6380000763602144;12493417;12493417;102.19814801181215;106;104;50;241
mgm4440434;2996835;23128;0.6112065165723175;2314100;2314100;100.05620892424767;100;101.0;50;170
mgm4440435;5034266;38652;0.5559064905386522;3885810;3885810;100.53321949705061;102;102.0;50;223
mgm4440436;36088009;266931;0.4642261065885181;27924246;27924246;104.61222563134294;105;105;50;456
mgm4440437;32769333;261104;0.5491720070609845;24785779;24785779;94.92684524174275;101;99.0;50;283
mgm4440438;44686317;335955;0.6395647323408642;34382798;34382798;102.34346266613088;105;104;50;235
mgm4440441;1312438;11571;0.4077009255303412;966689;966689;83.54411891798462;70;82;50;152
mgm4440939;34575313;25195;0.4837875615922263;33830568;33830568;1342.7492756499305;947;1081;92;16490
mgm4440940;19926737;12410;0.5155232849913749;19565543;19565543;1576.5949234488317;969;989.0;65;18617
mgm4440941;37914500;30080;0.5110482868501447;37023206;37023206;1230.8246675531916;956;1065.0;98;16076
mgm4440942;41237809;30905;0.5334193348639046;40321763;40321763;1304.7003073936257;1108;1116;103;12316
mgm4440943;35893404;25936;0.5065854404552607;35126428;35126428;1354.3502467612584;977;1087.0;78;16833
mgm4440944;30805837;22778;0.5013807181446727;30133594;30133594;1322.9253665817894;1082;1086.0;85;17639
mgm4440945;13437030;8849;0.5569797889711623;13181516;13181516;1489.605153124647;888;961;97;25762
mgm4440946;23500095;14881;0.4470376896763377;23064751;23064751;1549.9463073718164;1107;1070;79;21267
mgm4440947;40602143;29810;0.4834093029558236;39718946;39718946;1332.4034216705804;969;1080.0;83;16773
mgm4440948;37479069;28390;0.4818076566148531;36638463;36638463;1290.541141246918;1064;1051.0;88;18571
mgm4440949;21985761;12748;0.5001979468765825;21614385;21614385;1695.5118449952934;1077;1075.0;74;19264
mgm4440950;17791630;12146;0.5369264740322999;17438356;17438356;1435.7283056150172;1039;1063.0;63;21374
mgm4440984;20123667;76060;0.5476734324464706;17852931;17852931;234.7216802524323;243;242.0;50;423
mgm4441020;30696509;114861;0.5556240281241319;27246921;27246921;237.21647034241388;244;244;50;337
mgm4441021;33723215;127439;0.5347487519279747;29883692;29883692;234.49408736728944;244;242;50;367
mgm4441022;32537204;122815;0.5626869472197732;28841028;28841028;234.83310670520703;241;242;50;333
mgm4441092;34673329;34060;0.5718102875784976;33662635;33662635;988.3333822665884;976;977.0;168;1464
