"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","PI_lastname","seq_method","biosphere","ecosystem"
"mgm4511139","meadow","soil","soil",NA,"F11XNA_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511140","meadow","soil","soil",NA,"F11XXA_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511141","meadow","soil","soil",NA,"F11XXB_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511151","meadow","soil","soil",NA,"S11_XXA","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511178","meadow","soil","soil",NA,"D11_RNA","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511179","meadow","soil","soil",NA,"D11_RXB","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511180","meadow","soil","soil",NA,"D11_XNA","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511181","meadow","soil","soil",NA,"D11RNB_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511182","meadow","soil","soil",NA,"D11RXA_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511183","meadow","soil","soil",NA,"D11XNB_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511184","meadow","soil","soil",NA,"D11XXA_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511185","meadow","soil","soil",NA,"D11XXB_F1_2","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511187","meadow","soil","soil",NA,"M12_RNB","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4511190","meadow","soil","soil",NA,"M12_XNB","Loma_Ridge_grassland","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp1992","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4514321","meadow","soil","soil",NA,"10B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4514322","meadow","soil","soil",NA,"11B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4514323","meadow","soil","soil",NA,"12A","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4514324","meadow","soil","soil",NA,"12B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4514325","meadow","soil","soil",NA,"1B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4514327","meadow","soil","soil",NA,"2B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4514328","meadow","soil","soil",NA,"3B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4514329","meadow","soil","soil",NA,"4B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4514331","meadow","soil","soil",NA,"8A","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4529642","meadow","soil","soil",NA,"12P10B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4529644","meadow","soil","soil",NA,"12P11B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4529646","meadow","soil","soil",NA,"12P12B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4529648","meadow","soil","soil",NA,"12P13B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4529654","meadow","soil","soil",NA,"12P3B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4529655","meadow","soil","soil",NA,"12P7B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4529656","meadow","soil","soil",NA,"12P8A","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4529657","meadow","soil","soil",NA,"12P8B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4529733","meadow","soil","soil",NA,"12P10A","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4529734","meadow","soil","soil",NA,"12P1B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4529735","meadow","soil","soil",NA,"12P2A","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4529736","meadow","soil","soil",NA,"12P2B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4529737","meadow","soil","soil",NA,"12P3A","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4529738","meadow","soil","soil",NA,"12P5A","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4529739","meadow","soil","soil",NA,"12P5B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4529740","meadow","soil","soil",NA,"12P6A","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4529741","meadow","soil","soil",NA,"12P6B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4529743","meadow","soil","soil",NA,"12P9A","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4535613","meadow","soil","soil",NA,"10A","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4535614","meadow","soil","soil",NA,"11A","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4535615","meadow","soil","soil",NA,"1A","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4535617","meadow","soil","soil",NA,"4A","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4535618","meadow","soil","soil",NA,"5A","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4535619","meadow","soil","soil",NA,"5B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4535621","meadow","soil","soil",NA,"6B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4535622","meadow","soil","soil",NA,"7A","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4535623","meadow","soil","soil",NA,"8B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4535624","meadow","soil","soil",NA,"9A","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4535625","meadow","soil","soil",NA,"9B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4537558","meadow","soil","soil",NA,"13B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4537560","meadow","soil","soil",NA,"14B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4537561","meadow","soil","soil",NA,"15A","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4537562","meadow","soil","soil",NA,"15B","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4537564","meadow","soil","soil",NA,"C2","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4537565","meadow","soil","soil",NA,"RX","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4537566","meadow","soil","soil",NA,"XN","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4537567","meadow","soil","soil",NA,"XX","Loma_Ridge_grassland (litter_bags)","metagenome","WGS","north america","United States of America",33.739556,-117.703419,"montane grasslands and shrubland biome","mgp3520","free-living","meadow_soil","allison","illumina","terrestrial","soil"
"mgm4569549","alkaline habitat","travertine","water",NA,"CR12Aug_CSW11AC","Microbial Biogeography of Serpentinites","metagenome","WGS",NA,"USA",38.862,-122.414,"montane grasslands and shrubland biome","mgp6096","free-living","alkaline_environment","Brazelton","illumina","freshwater","freshwater"
"mgm4569550","alkaline habitat","travertine","water",NA,"CR12Aug_QV11A","Microbial Biogeography of Serpentinites","metagenome","WGS",NA,"USA",38.862,-122.43,"montane grasslands and shrubland biome","mgp6096","free-living","alkaline_environment","Brazelton","illumina","freshwater","freshwater"
"mgm4569551","alkaline habitat","travertine","water",NA,"CR12Aug_CSW13A","Microbial Biogeography of Serpentinites","metagenome","WGS",NA,"USA",38.862,-122.414,"montane grasslands and shrubland biome","mgp6096","free-living","alkaline_environment","Brazelton","illumina","freshwater","freshwater"
