" project_id","latitude","longitude","ecosystem","Habitat","n","Realm ","Biome","Functional group"
"mgp10309","-19.45","-56.13","Freshwater","alkaline_environment",11,"Terrestrial-Freshwater","Palustrine wetlands ","Seasonal floodplain marshes"
"mgp20869","18.04","-66.37","Freshwater","alkaline_environment",2,"Freshwater","Lakes","Geothermal pools and wetlands"
"PRJDB2971","38.62","-123.13","Freshwater","alkaline_environment",4,"Freshwater","Lakes","Geothermal pools and wetlands"
"mgp6096","38.86","-122.43","Freshwater","alkaline_environment",1,"Terrestrial","Shrublands and shrubby woodlands","Seasonally dry temperate heath and shrublands"
"mgp6096","38.86","-122.41","Freshwater","alkaline_environment",2,"Terrestrial","Shrublands and shrubby woodlands","Seasonally dry temperate heath and shrublands"
"mgp6096","44.45","8.78","Freshwater","alkaline_environment",8,"Terrestrial","Shrublands and shrubby woodlands","Young  rocky pavements, lava flows and screes"
"mgp6096","44.6","8.78","Freshwater","alkaline_environment",3,"Terrestrial","Shrublands and shrubby woodlands","Young  rocky pavements, lava flows and screes"
"mgp8119","45.49","2.89","Freshwater","alkaline_environment",2,"Freshwater","Lakes","Small permanent freshwter lakes"
"mgp2321","26.82","-102.01","Saline water","alkaline_salt_lake",2,"Freshwater","Lake","Permanenent salt and Soda Lakes"
"mgp2321","26.87","-102.02","Saline water","alkaline_salt_lake",2,"Freshwater","Lake","Permanenent salt and Soda Lakes"
"mgp19115","37.99","-119.02","Saline water","alkaline_salt_lake",17,"Freshwater","Lake","Permanenent salt and Soda Lakes"
"mgp19115","39.52","-118.87","Saline water","alkaline_salt_lake",6,"Freshwater","Lake","Permanenent salt and Soda Lakes"
"mgp8260","46.87","19.17","Saline water","alkaline_salt_lake",1,"Freshwater","Lake","Permanenent salt and Soda Lakes"
"mgp7591","46.25","20.15","Sediment","anaerobic_sediment",10,"Terrestrial","Intensive land use","Urban and industrial ecosystems"
"mgp6226","52.04","8.49","Sediment","anaerobic_sediment",2,"Terrestrial","Intensive land use","Urban and industrial ecosystems"
"mgp6468","55.76","12.49","Sediment","anaerobic_sediment",14,"Terrestrial","Intensive land use","Urban and industrial ecosystems"
"mgp13384","-40.35","175.61","Animal host","animal_feces",19,"Terrestrial","Temperate-boreal forests and woodlands","Oceanic cool temperate rainforests"
"mgp10958","-22.84","-43.23","Animal host","animal_feces",3,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp10960","-22.84","-43.23","Animal host","animal_feces",3,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp3854","-1.3","35.1","Animal host","animal_feces",1,"Terrestrial","Savannas and grasslands","Trophic savannas"
"mgp5568","5.12","101.89","Animal host","animal_feces",6,"Terrestrial","Tropical-subtropical forests","Tropical/subtropical lowland rainforests"
"mgp19727","13.15","80.24","Animal host","animal_feces",15,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp5882","14.79","87.6","Animal host","animal_feces",68,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp116","18.49","-117.15","Animal host","animal_feces",2,"Terrestrial ","Savannas and grasslands ","Trophic savannas"
"mgp16795","30.34","102.87","Animal host","animal_feces",1,"Terrestrial","Temperate-boreal forests and woodlands","Boral and temperate high montane forests and woodlands"
"mgp16795","31.05","103.08","Animal host","animal_feces",1,"Terrestrial","Polar/alpine (cryogenic)","Temperate alpine grasslands and shrublands"
"mgp80126","31.67","130.85","Animal host","animal_feces",7,"Terrestrial","Intensive land use","Urban and industrial ecosystems"
"mgp82562",32,44,"Animal host","animal_feces",3,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp83664",32,44,"Animal host","animal_feces",18,"Terrestrial","Intensive land use","Sown pastures and fields"
"mgp7746","32.6","-117.11","Animal host","animal_feces",46,"Terrestrial","Intensive land use","Sown pastures and fields"
"mgp116","32.74","-117.15","Animal host","animal_feces",4,"Terrestrial","Intensive land-use ","Urban and industrial ecosystem"
"mgp10563","32.88","-117.24","Animal host","animal_feces",19,"Terrestrial","Intensive land use","Urban and industrial ecosystems"
"mgp15049","33.46","126.56","Animal host","animal_feces",4,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp13418","34.06","-118.21","Animal host","animal_feces",2,"Terrestrial","Intensive land use","Urban and industrial ecosystems"
"mgp3854","36.95","-122.06","Animal host","animal_feces",1,"Marine","Pelagic ocean waters","Epipelagic ocean waters"
"mgp116","38.63","-90.29","Animal host","animal_feces",31,"Terrestrial","Intensive land-use ","Urban and industrial ecosystem"
"mgp116","38.65","-90.22","Animal host","animal_feces",1,"Terrestrial","Intensive land-use ","Urban and industrial ecosystem"
"mgp116","39.55","-105.78","Animal host","animal_feces",1,"Terrestrial","Temperate-boreal forests and woodlands","Boral and temperate high montane forests and woodlands"
"mgp11369","39.9","116.41","Animal host","animal_feces",126,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp80013","40.78","-96.64","Animal host","animal_feces",2,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
