"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem","PI_lastname","seq_meth"
"mgm4552614","farm","agricultural soil","soil",NA,"2012_7_corn_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8877222222222,-84.9814111111111,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552615","farm","agricultural soil","soil",NA,"2012_8_Soy_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8902666666667,-84.9825833333333,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552616","farm","agricultural soil","soil",NA,"2012_9_Corn_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.9469472222222,-84.8146777777778,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552617","farm","agricultural soil","soil",NA,"2013_11_Soy_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.9298916666667,-84.7643583333333,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552618","farm","agricultural soil","soil",NA,"2013_12_Corn_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.9307555555556,-84.7675305555556,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552619","farm","agricultural soil","soil",NA,"2013_13_Corn_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8126444444444,-84.9107166666667,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552620","farm","agricultural soil","soil",NA,"2013_14_Corn_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8011416666667,-84.92135,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552621","farm","agricultural soil","soil",NA,"2013_15_Soy_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.459325,-84.9521861111111,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552622","farm","agricultural soil","soil",NA,"2013_16_Corn_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.4614666666667,-84.9431305555556,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552623","farm","agricultural soil","soil",NA,"2013_17_Soy_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8791833333333,-84.97925,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
