samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem,PI_lastname,seq_meth
mgm4520335,plant-associated habitat,bulk soil,plant-associated,NA,root_S27_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00938,-72.49425,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520336,plant-associated habitat,bulk soil,plant-associated,NA,root_S28_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01534,-72.52817,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520337,plant-associated habitat,bulk soil,plant-associated,NA,root_S28_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01534,-72.52817,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520338,plant-associated habitat,bulk soil,plant-associated,NA,root_S2_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01463,-72.52848,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520339,plant-associated habitat,bulk soil,plant-associated,NA,root_S2_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01463,-72.52848,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520340,plant-associated habitat,bulk soil,plant-associated,NA,root_S3_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01023,-72.53063,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520341,plant-associated habitat,bulk soil,plant-associated,NA,root_S3_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01023,-72.53063,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520342,plant-associated habitat,bulk soil,plant-associated,NA,root_S4_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01502,-72.52851,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520343,plant-associated habitat,bulk soil,plant-associated,NA,root_S4_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01502,-72.52851,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520344,plant-associated habitat,bulk soil,plant-associated,NA,root_S5_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.015,-72.52847,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520345,plant-associated habitat,bulk soil,plant-associated,NA,root_S5_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.015,-72.52847,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520346,plant-associated habitat,bulk soil,plant-associated,NA,root_S6_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00943,-72.49429,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520347,plant-associated habitat,bulk soil,plant-associated,NA,root_S6_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00943,-72.49429,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520348,plant-associated habitat,bulk soil,plant-associated,NA,root_S7_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.06277,-72.45041,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520349,plant-associated habitat,bulk soil,plant-associated,NA,root_S7_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.06277,-72.45041,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520350,plant-associated habitat,bulk soil,plant-associated,NA,root_S8_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.06272,-75.45012,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520351,plant-associated habitat,bulk soil,plant-associated,NA,root_S8_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.06272,-75.45012,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520352,plant-associated habitat,bulk soil,plant-associated,NA,root_S9_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01039,-72.53075,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520353,plant-associated habitat,bulk soil,plant-associated,NA,root_S9_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01039,-72.53075,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520354,plant-associated habitat,bulk soil,plant-associated,NA,soil_S29_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.015,-72.52847,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520355,plant-associated habitat,bulk soil,plant-associated,NA,soil_S29_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.015,-72.52847,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520356,plant-associated habitat,bulk soil,plant-associated,NA,soil_S30_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00938,-72.49426,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520357,plant-associated habitat,bulk soil,plant-associated,NA,soil_S30_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00938,-72.49426,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520358,plant-associated habitat,bulk soil,plant-associated,NA,soil_S31_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00933,-72.49417,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520359,plant-associated habitat,bulk soil,plant-associated,NA,soil_S31_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00933,-72.49417,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520360,plant-associated habitat,bulk soil,plant-associated,NA,soil_S32_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01444,-72.52846,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520361,plant-associated habitat,bulk soil,plant-associated,NA,soil_S32_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01444,-72.52846,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520362,plant-associated habitat,bulk soil,plant-associated,NA,soil_S33_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01504,-72.52851,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520363,plant-associated habitat,bulk soil,plant-associated,NA,soil_S33_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01504,-72.52851,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520364,plant-associated habitat,bulk soil,plant-associated,NA,soil_S34_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00936,-72.49427,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
