"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem","PI_lastname","seq_meth"
"mgm4719947","marine water body","water","water",NA,"ERR771079_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",65.48868,-18.0608,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719948","marine water body","water","water",NA,"ERR771090_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",39.134347,-9.384778,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719949","marine water body","water","water",NA,"ERR770990_","Ocean Sampling Day","metagenome","WGS",NA,"Pacific Ocean",21.28656,-157.84351,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719950","marine water body","water","water",NA,"ERR770972_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",43.57,13.595,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719951","marine water body","water","water",NA,"ERR771082_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",66.00659,-18.19753,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719952","marine water body","water","water",NA,"ERR771032_","Ocean Sampling Day","metagenome","WGS",NA,"North Sea",51.458433,2.350467,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719953","marine water body","water","water",NA,"ERR771015_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",59.8822,23.2538,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719954","marine water body","water","water",NA,"ERR771023_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",45.08,13.61,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719955","marine water body","water","water",NA,"ERR770984_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",45.31435,12.508317,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719956","marine water body","water","water",NA,"ERR771088_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",37.167,-7.504,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719957","marine water body","water","water",NA,"ERR771005_","Ocean Sampling Day","metagenome","WGS",NA,"Pacific Ocean",32.86698,-117.25725,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719958","marine water body","water","water",NA,"ERR771048_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",57.8498,-5.6495,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719959","marine water body","water","water",NA,"ERR771050_","Ocean Sampling Day","metagenome","WGS",NA,"North Sea",56.9631,-2.1031,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719960","marine water body","water","water",NA,"ERR771068_","Ocean Sampling Day","metagenome","WGS",NA,"North Sea",51.361369,3.118856,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719961","marine water body","water","water",NA,"ERR771028_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",38.885507,-76.5416,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
