"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4581781","continental slope","marine sediment","sediment",NA,"12.57_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581782","continental slope","marine sediment","sediment",NA,"12.72_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581783","continental slope","marine sediment","sediment",NA,"8.65_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581784","continental slope","marine sediment","sediment",NA,"8.73_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581785","continental slope","marine sediment","sediment",NA,"8.83_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581786","continental slope","marine sediment","sediment",NA,"9.13_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581787","continental slope","marine sediment","sediment",NA,"9.33_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581788","continental slope","marine sediment","sediment",NA,"9.56_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581789","continental slope","marine sediment","sediment",NA,"9.92_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4581790","continental slope","marine sediment","sediment",NA,"10.12_mbsf","Indian Ocean OMZ sediment metagenomes","metagenome","WGS","asia","Pakistan",23.025278,60.866389,"marine benthic biome","mgp10826","free-living","continental_slope_sediment","marine","sediment"
"mgm4714016","saline marsh","silty sediment","sediment",NA,"ELM-10-016_R1B","CWC Coastal Marshes","metagenome","WGS","north america","USA",29.45497,-89.758933,"marine benthic biome","mgp19524","free-living","saline_marsh_sediment","marine","sediment"
