"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4552598","farm","agricultural soil","soil",NA,"2012_11_Corn_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.9298916666667,-84.7643583333333,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552599","farm","agricultural soil","soil",NA,"2012_12_Soy_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.9307555555556,-84.7675305555556,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552600","farm","agricultural soil","soil",NA,"2012_13_Corn_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8126444444444,-84.9107166666667,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552601","farm","agricultural soil","soil",NA,"2012_14_Soy_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8011416666667,-84.92135,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552602","farm","agricultural soil","soil",NA,"2012_15_Corn_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.459325,-84.9521861111111,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552603","farm","agricultural soil","soil",NA,"2012_16_soy_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.4614666666667,-84.9431305555556,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552604","farm","agricultural soil","soil",NA,"2012_17_Corn_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8791833333333,-84.97925,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552605","farm","agricultural soil","soil",NA,"2012_18_soy_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8762972222222,-84.9788666666667,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552606","farm","agricultural soil","soil",NA,"2012_19_Corn_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8761305555556,-84.9817638888889,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552607","farm","agricultural soil","soil",NA,"2012_1_corn_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.7653833333333,-84.8479583333333,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552608","farm","agricultural soil","soil",NA,"2012_20_Soy_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8797194444444,-84.9821777777778,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552609","farm","agricultural soil","soil",NA,"2012_2_Soy_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.7737861111111,-84.8161083333333,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552610","farm","agricultural soil","soil",NA,"2012_3_corn_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.7673638888889,-84.8342472222222,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552611","farm","agricultural soil","soil",NA,"2012_4_Soy_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.7738138888889,-84.8286,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552612","farm","agricultural soil","soil",NA,"2012_5_Corn_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8996555555556,-85.0046583333333,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
